"SplunkVersion","FolderName","IdentityReference","FileSystemRights"
"Splunk 6.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.1.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.2.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.3.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.4.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.5.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.6.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 7.0.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 7.1.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 7.2.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 7.3.0","C:\Program Files\SplunkUniversalForwarder\bin","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.0","C:\Program Files\SplunkUniversalForwarder\bin\scripts","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.1.0","C:\Program Files\SplunkUniversalForwarder\bin\scripts","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.2.0","C:\Program Files\SplunkUniversalForwarder\bin\scripts","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.3.0","C:\Program Files\SplunkUniversalForwarder\bin\scripts","BUILTIN\Users","ReadAndExecute, Synchronize"
"Splunk 6.4.0","C:\Program Files\SplunkUniversalForwarder\bin\scripts","BUILTIN\Users","ReadAndExecute, Synchronize"
